ДОХОД,,,BASIS,,Год,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,
Прочие доходы,1,0,0,0,2017,1,1,1,1,1,1,1,1,1,1,1,1,
Сбербанк зарплата,1,0,150000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1 800 000
ВТБ,1,0,60000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,720000
ПлюсКарта,1,0,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ПлюсНалик,1,0,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ПлюсОтпуск,1,,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,210 000,210 000,210 000,210 000,210 000,210 000,210 000,210 000,210 000,210 000,210 000,210 000,2 520 000
РАСХОД,,,,,,,,,,,,,,,,,,
Ипотека,0,0,68500,0,,1,1,1,1,1,1,1,1,1,"1,7",1,1,869 950
Коммунальные расходы,0,0,10000,0,0,"1,1",1,1,1,1,1,1,1,1,1,1,1,121 000
Мобильная связь,0,0,2400,0,0,"0,63",1,1,1,1,1,1,1,1,1,1,1,27 912
Дашины занятия,0,0,18500,0,0,1,1,1,1,1,1,1,1,1,1,1,"1,16",225 000
Продукты,0,0,30000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,360 000
Обед,0,0,10000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,120 000
Одежда,0,0,8000,0,0,1,1,1,1,1,1,1,1,1,1,1,"0,5",92 000
Развлечения,0,0,10000,0,0,1,2,1,"0,6",1,1,1,1,1,1,1,3,146 000
Непредвиденные расходы,0,0,10000,0,0,"1,5","0,5",1,"0,5",1,1,1,1,1,1,1,1,115 000
Медицина,0,0,8000,0,0,1,1,1,1,1,1,1,1,1,1,1,"2,6",108 800
Парикмахерская,0,0,3000,0,0,1,1,2,1,1,1,1,1,1,1,1,"1,33",40 000
Транспорт,0,0,3000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,36 000
Авто,0,0,3500,0,0,2,1,1,1,1,1,1,1,1,1,11,1,80 500
Парфюмерия & косметика,0,0,1000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12 000
На отпуск,0,0,10000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,120 000
"Бытовая техника, мебель",0,0,1000,0,0,1,2,1,1,1,1,1,1,1,1,1,1,13 000
Подарки,0,0,1000,0,0,1,4,1,20,1,1,1,1,1,1,1,10,43 000
CORR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
МинусКарта,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
МинусНалик,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
МинусОтпуск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,1,,,206512,206900,200900,207900,197900,197900,197900,197900,197900,245850,232900,239700,2 530 162
